second_stage_priority	second_stage_reason	run	batch	classified_pct	total_reads	top_pathogen	top_pathogen_fraction	top_pathogen_reads	clinical_pathogen_hits	top_species	top_species_fraction
1	high_pathogen_fraction	SRR27343708	20260724T170118Z-prjna1056765-production-descriptive-batch-007	2.3364	295107	Klebsiella pneumoniae	0.30385	2068.0	Klebsiella pneumoniae;Acinetobacter baumannii	Klebsiella pneumoniae	0.30385
1	high_pathogen_fraction	SRR27343291	20260724T170118Z-prjna1056765-production-descriptive-batch-010	3.3715	399432	Stenotrophomonas maltophilia	0.30131	4036.0	Stenotrophomonas maltophilia;Candida albicans;Candida dubliniensis	Stenotrophomonas maltophilia	0.30131
1	high_pathogen_fraction	SRR27344044	20260724T170118Z-prjna1056765-production-descriptive-batch-010	1.7628	310865	Pseudomonas aeruginosa	0.29933	1614.0	Pseudomonas aeruginosa	Toxoplasma gondii	0.36276
1	high_pathogen_fraction	SRR27343753	20260724T170118Z-prjna1056765-production-descriptive-batch-020	2.962	5544891	Prevotella melaninogenica	0.27262	44505.0	Prevotella melaninogenica;Streptococcus mitis;Veillonella parvula;Streptococcus pneumoniae;Streptococcus sanguinis	Prevotella melaninogenica	0.27262
1	high_pathogen_fraction	SRR27343780	20260724T170118Z-prjna1056765-production-descriptive-batch-001	1.3748	112815	Klebsiella pneumoniae	0.26815	399.0	Klebsiella pneumoniae	Homo sapiens	0.47984
1	high_pathogen_fraction	SRR27343792	20260724T170118Z-prjna1056765-production-descriptive-batch-019	2.228	1527294	Rothia mucilaginosa	0.26149	8821.0	Rothia mucilaginosa;Streptococcus mitis;Streptococcus oralis;Streptococcus pneumoniae;Streptococcus toyakuensis	Rothia mucilaginosa	0.26149
1	high_pathogen_fraction	SRR27343730	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.2117	269616	Staphylococcus aureus	0.25379	820.0	Staphylococcus aureus	Homo sapiens	0.37574
1	high_pathogen_fraction	SRR27343847	20260724T170118Z-prjna1056765-production-descriptive-batch-013	0.9719	491316	Stenotrophomonas maltophilia	0.25261	1186.0	Stenotrophomonas maltophilia	Homo sapiens	0.43152
1	high_pathogen_fraction	SRR27343734	20260724T170118Z-prjna1056765-production-descriptive-batch-014	3.0508	508725	Streptococcus pneumoniae	0.23604	3613.0	Streptococcus pneumoniae;Streptococcus mitis;Streptococcus pseudopneumoniae;Streptococcus oralis;Streptococcus gwangjuense	Streptococcus pneumoniae	0.23604
1	high_pathogen_fraction	SRR27343742	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.6374	263953	Mycobacterium tuberculosis	0.23003	979.0	Mycobacterium tuberculosis	Homo sapiens	0.43633
1	high_pathogen_fraction	SRR27343518	20260724T170118Z-prjna1056765-production-descriptive-batch-016	1.1077	631832	Mycobacterium tuberculosis	0.22821	1566.0	Mycobacterium tuberculosis;Prevotella melaninogenica;Prevotella intermedia;Prevotella oris;Prevotella jejuni	Homo sapiens	0.35048
1	high_pathogen_fraction	SRR27343522	20260724T170118Z-prjna1056765-production-descriptive-batch-007	2.1104	276255	Mycobacterium tuberculosis	0.22456	1304.0	Mycobacterium tuberculosis;Candida albicans;Prevotella melaninogenica	Homo sapiens	0.30222
1	high_pathogen_fraction	SRR27344014	20260724T170118Z-prjna1056765-production-descriptive-batch-017	3.2869	846821	Rothia mucilaginosa	0.21115	5780.0	Rothia mucilaginosa;Prevotella melaninogenica;Streptococcus mitis;Streptococcus pneumoniae;Haemophilus parainfluenzae	Rothia mucilaginosa	0.21115
1	high_pathogen_fraction	SRR27343727	20260724T170118Z-prjna1056765-production-descriptive-batch-001	2.2362	141040	Klebsiella pneumoniae	0.20652	646.0	Klebsiella pneumoniae	Homo sapiens	0.39514
1	high_pathogen_fraction	SRR27343271	20260724T170118Z-prjna1056765-production-descriptive-batch-002	2.2909	221572	Rothia mucilaginosa	0.20218	983.0	Rothia mucilaginosa;Streptococcus sp. LPB0220;Haemophilus parainfluenzae;Streptococcus parasanguinis;Streptococcus sp. HSISM1	Homo sapiens	0.25812
1	high_pathogen_fraction	SRR27343711	20260724T170118Z-prjna1056765-production-descriptive-batch-011	1.8117	369933	Prevotella melaninogenica	0.19644	1303.0	Prevotella melaninogenica;Prevotella intermedia;Prevotella jejuni	Toxoplasma gondii	0.44987
1	high_pathogen_fraction	SRR27344037	20260724T170118Z-prjna1056765-production-descriptive-batch-006	1.7212	238495	Pseudomonas aeruginosa	0.19111	778.0	Pseudomonas aeruginosa;Streptococcus pneumoniae	Toxoplasma gondii	0.38885
1	high_pathogen_fraction	SRR27343520	20260724T170118Z-prjna1056765-production-descriptive-batch-007	1.8356	299746	Mycobacterium tuberculosis	0.18737	991.0	Mycobacterium tuberculosis;Rothia mucilaginosa;Streptococcus ilei;Streptococcus oralis;Streptococcus mitis	Toxoplasma gondii	0.35678
1	high_pathogen_fraction	SRR27343835	20260724T170118Z-prjna1056765-production-descriptive-batch-019	4.1902	1486054	Streptococcus intermedius	0.18214	11241.0	Streptococcus intermedius;Prevotella denticola;Streptococcus mitis;Rothia mucilaginosa;Streptococcus pneumoniae	Streptococcus intermedius	0.18214
1	high_pathogen_fraction	SRR27343458	20260724T170118Z-prjna1056765-production-descriptive-batch-012	1.0789	432380	Prevotella intermedia	0.1692	757.0	Prevotella intermedia;Prevotella oris;Prevotella enoeca;Rothia mucilaginosa;Prevotella nigrescens	Homo sapiens	0.23804
1	high_pathogen_fraction	SRR27343750	20260724T170118Z-prjna1056765-production-descriptive-batch-003	1.6551	185605	Mycobacterium tuberculosis	0.16787	512.0	Mycobacterium tuberculosis	Homo sapiens	0.4023
1	high_pathogen_fraction	SRR27343761	20260724T170118Z-prjna1056765-production-descriptive-batch-016	1.044	623562	Mycobacterium tuberculosis	0.16633	1074.0	Mycobacterium tuberculosis	Toxoplasma gondii	0.43008
1	high_pathogen_fraction	SRR27344000	20260724T170118Z-prjna1056765-production-descriptive-batch-020	3.1344	2351136	Nocardia wallacei	0.16321	11835.0	Nocardia wallacei;Pseudomonas synxantha;Nocardia terpenica;Nocardia asteroides;Streptococcus salivarius	Arabidopsis thaliana	0.68166
1	high_pathogen_fraction	SRR27343497	20260724T170118Z-prjna1056765-production-descriptive-batch-014	2.8638	543543	Mycobacterium tuberculosis	0.16112	2401.0	Mycobacterium tuberculosis;Acinetobacter sp. NyZ410;Staphylococcus epidermidis;Acinetobacter guillouiae;Acinetobacter johnsonii	Arabidopsis thaliana	0.41377
1	high_pathogen_fraction	SRR27343796	20260724T170118Z-prjna1056765-production-descriptive-batch-008	2.5415	254264	Stenotrophomonas maltophilia	0.15687	990.0	Stenotrophomonas maltophilia;Prevotella melaninogenica;Streptococcus sanguinis	Toxoplasma gondii	0.30946
1	high_pathogen_fraction	SRR27343305	20260724T170118Z-prjna1056765-production-descriptive-batch-006	1.4445	271029	Haemophilus influenzae	0.14917	581.0	Haemophilus influenzae;Streptococcus pneumoniae	Toxoplasma gondii	0.41207
1	high_pathogen_fraction	SRR27343330	20260724T170118Z-prjna1056765-production-descriptive-batch-008	1.4611	325981	Mycobacterium tuberculosis	0.14401	679.0	Mycobacterium tuberculosis	Homo sapiens	0.40933
1	high_pathogen_fraction	SRR27343864	20260724T170118Z-prjna1056765-production-descriptive-batch-010	1.202	282106	Pseudomonas aeruginosa	0.14394	475.0	Pseudomonas aeruginosa;Streptococcus salivarius;Prevotella jejuni;Rothia mucilaginosa;Veillonella atypica	Toxoplasma gondii	0.42515
1	high_pathogen_fraction	SRR27343776	20260724T170118Z-prjna1056765-production-descriptive-batch-016	1.8603	681768	Candida albicans	0.14223	1747.0	Candida albicans;Acinetobacter baumannii;Acinetobacter nosocomialis;Acinetobacter lwoffii;Staphylococcus hominis	Arabidopsis thaliana	0.50126
1	high_pathogen_fraction	SRR27343870	20260724T170118Z-prjna1056765-production-descriptive-batch-016	2.2814	577574	Streptococcus pseudopneumoniae	0.14157	1824.0	Streptococcus pseudopneumoniae;Streptococcus pneumoniae;Streptococcus mitis;Pseudomonas aeruginosa;Streptococcus oralis	Arabidopsis thaliana	0.45312
1	high_pathogen_fraction	SRR27343862	20260724T170118Z-prjna1056765-production-descriptive-batch-014	0.83	431201	Pseudomonas aeruginosa	0.13797	484.0	Pseudomonas aeruginosa;Rothia mucilaginosa	Homo sapiens	0.44128
1	high_pathogen_fraction	SRR27343280	20260724T170118Z-prjna1056765-production-descriptive-batch-017	0.8756	775049	Legionella longbeachae	0.1377	923.0	Legionella longbeachae	Homo sapiens	0.42638
1	high_pathogen_fraction	SRR27343326	20260724T170118Z-prjna1056765-production-descriptive-batch-006	1.3572	271219	Prevotella nigrescens	0.13553	489.0	Prevotella nigrescens;Prevotella sp. oral taxon 475;Prevotella denticola	Toxoplasma gondii	0.47672
1	high_pathogen_fraction	SRR27343858	20260724T170118Z-prjna1056765-production-descriptive-batch-020	4.0624	26209894	Prevotella melaninogenica	0.13508	143396.0	Prevotella melaninogenica;Rothia mucilaginosa;Streptococcus parasanguinis;Streptococcus pneumoniae;Haemophilus parainfluenzae	Prevotella melaninogenica	0.13508
1	high_pathogen_fraction	SRR27343222	20260724T170118Z-prjna1056765-production-descriptive-batch-016	2.1629	629326	Prevotella melaninogenica	0.12888	1690.0	Prevotella melaninogenica;Prevotella fusca;Haemophilus influenzae;Rothia mucilaginosa;Streptococcus intermedius	Arabidopsis thaliana	0.21742
1	high_pathogen_fraction	SRR27344023	20260724T170118Z-prjna1056765-production-descriptive-batch-013	2.929	466754	Prevotella intermedia	0.12771	1684.0	Prevotella intermedia;Prevotella melaninogenica;Haemophilus parainfluenzae;Streptococcus mitis;Prevotella nigrescens	Prevotella intermedia	0.12771
1	high_pathogen_fraction	SRR27343508	20260724T170118Z-prjna1056765-production-descriptive-batch-015	4.0858	585487	Streptococcus mitis	0.12732	3000.0	Streptococcus mitis;Prevotella jejuni;Streptococcus pneumoniae;Rothia aeria;Streptococcus gwangjuense	Arabidopsis thaliana	0.27905
1	high_pathogen_fraction	SRR27344019	20260724T170118Z-prjna1056765-production-descriptive-batch-018	1.4693	1107469	Prevotella melaninogenica	0.12639	1984.0	Prevotella melaninogenica;Streptococcus mitis;Rothia aeria;Rothia mucilaginosa;Streptococcus salivarius	Arabidopsis thaliana	0.13269
1	high_pathogen_fraction	SRR27343732	20260724T170118Z-prjna1056765-production-descriptive-batch-011	2.2813	379525	Streptococcus mitis	0.12613	1058.0	Streptococcus mitis;Streptococcus oralis;Streptococcus pneumoniae;Streptococcus toyakuensis;Streptococcus gwangjuense	Toxoplasma gondii	0.21304
1	high_pathogen_fraction	SRR27343514	20260724T170118Z-prjna1056765-production-descriptive-batch-009	1.4339	338310	Mycobacterium tuberculosis	0.12497	603.0	Mycobacterium tuberculosis	Homo sapiens	0.60912
